temporal_change,dispersal,replicate,time,predicted_species,environment_1,community,N
no,no dispersal,2,4,eup,dark,monoculture,39
no,no dispersal,2,4,eup,dark,polyculture,12
no,no dispersal,2,4,eup,light,monoculture,67
no,no dispersal,2,4,eup,light,polyculture,3
no,no dispersal,2,4,pau,dark,monoculture,1
no,no dispersal,2,4,pau,dark,polyculture,0
no,no dispersal,2,4,pau,light,monoculture,2
no,no dispersal,2,4,pau,light,polyculture,0
no,no dispersal,2,4,rot,dark,monoculture,61
no,no dispersal,2,4,rot,dark,polyculture,0
no,no dispersal,2,4,rot,light,monoculture,390
no,no dispersal,2,4,rot,light,polyculture,6
no,no dispersal,2,4,spi,dark,monoculture,46
no,no dispersal,2,4,spi,dark,polyculture,0
no,no dispersal,2,4,spi,light,monoculture,15
no,no dispersal,2,4,spi,light,polyculture,1
no,no dispersal,2,4,tet,dark,monoculture,226
no,no dispersal,2,4,tet,dark,polyculture,1
no,no dispersal,2,4,tet,light,monoculture,447
no,no dispersal,2,4,tet,light,polyculture,6
no,no dispersal,3,1,col,dark,monoculture,22
no,no dispersal,3,1,col,dark,polyculture,51
no,no dispersal,3,1,col,light,monoculture,44
no,no dispersal,3,1,col,light,polyculture,16
no,no dispersal,3,1,eug,dark,monoculture,139
no,no dispersal,3,1,eug,dark,polyculture,21
no,no dispersal,3,1,eug,light,monoculture,4612
no,no dispersal,3,1,eug,light,polyculture,257
no,no dispersal,3,1,eup,dark,monoculture,22
no,no dispersal,3,1,eup,dark,polyculture,11
no,no dispersal,3,1,eup,light,monoculture,28
no,no dispersal,3,1,eup,light,polyculture,11
no,no dispersal,3,1,pau,dark,monoculture,244
no,no dispersal,3,1,pau,dark,polyculture,35
no,no dispersal,3,1,pau,light,monoculture,85
no,no dispersal,3,1,pau,light,polyculture,13
no,no dispersal,3,1,rot,dark,monoculture,107
no,no dispersal,3,1,rot,dark,polyculture,116
no,no dispersal,3,1,rot,light,monoculture,263
no,no dispersal,3,1,rot,light,polyculture,35
no,no dispersal,3,1,spi,dark,monoculture,22
no,no dispersal,3,1,spi,dark,polyculture,8
no,no dispersal,3,1,spi,light,monoculture,8
no,no dispersal,3,1,spi,light,polyculture,6
no,no dispersal,3,1,tet,dark,monoculture,188
no,no dispersal,3,1,tet,dark,polyculture,65
no,no dispersal,3,1,tet,light,monoculture,166
no,no dispersal,3,1,tet,light,polyculture,70
no,no dispersal,3,2,col,dark,monoculture,49
no,no dispersal,3,2,col,dark,polyculture,84
no,no dispersal,3,2,col,light,monoculture,50
no,no dispersal,3,2,col,light,polyculture,27
no,no dispersal,3,2,eug,dark,monoculture,56
no,no dispersal,3,2,eug,dark,polyculture,8
no,no dispersal,3,2,eug,light,monoculture,9581
no,no dispersal,3,2,eug,light,polyculture,31
no,no dispersal,3,2,eup,dark,monoculture,27
no,no dispersal,3,2,eup,dark,polyculture,11
no,no dispersal,3,2,eup,light,monoculture,135
no,no dispersal,3,2,eup,light,polyculture,4
no,no dispersal,3,2,pau,dark,monoculture,98
no,no dispersal,3,2,pau,dark,polyculture,23
no,no dispersal,3,2,pau,light,monoculture,41
no,no dispersal,3,2,pau,light,polyculture,11
no,no dispersal,3,2,rot,dark,monoculture,56
no,no dispersal,3,2,rot,dark,polyculture,0
no,no dispersal,3,2,rot,light,monoculture,10
no,no dispersal,3,2,rot,light,polyculture,1
no,no dispersal,3,2,spi,dark,monoculture,15
no,no dispersal,3,2,spi,dark,polyculture,0
no,no dispersal,3,2,spi,light,monoculture,4
no,no dispersal,3,2,spi,light,polyculture,0
no,no dispersal,3,2,tet,dark,monoculture,101
no,no dispersal,3,2,tet,dark,polyculture,1
no,no dispersal,3,2,tet,light,monoculture,87
no,no dispersal,3,2,tet,light,polyculture,5
no,no dispersal,3,3,col,dark,monoculture,111
no,no dispersal,3,3,col,dark,polyculture,23
no,no dispersal,3,3,col,light,monoculture,68
no,no dispersal,3,3,col,light,polyculture,28
no,no dispersal,3,3,eug,dark,monoculture,34
no,no dispersal,3,3,eug,dark,polyculture,4
no,no dispersal,3,3,eug,light,monoculture,6489
no,no dispersal,3,3,eug,light,polyculture,14
no,no dispersal,3,3,eup,dark,monoculture,36
no,no dispersal,3,3,eup,dark,polyculture,56
no,no dispersal,3,3,eup,light,monoculture,64
no,no dispersal,3,3,eup,light,polyculture,0
no,no dispersal,3,3,pau,dark,monoculture,101
no,no dispersal,3,3,pau,dark,polyculture,6
no,no dispersal,3,3,pau,light,monoculture,18
no,no dispersal,3,3,pau,light,polyculture,3
no,no dispersal,3,3,rot,dark,monoculture,54
no,no dispersal,3,3,rot,dark,polyculture,0
no,no dispersal,3,3,rot,light,monoculture,136
no,no dispersal,3,3,rot,light,polyculture,1
no,no dispersal,3,3,spi,dark,monoculture,22
no,no dispersal,3,3,spi,dark,polyculture,1
no,no dispersal,3,3,spi,light,monoculture,58
no,no dispersal,3,3,spi,light,polyculture,0
no,no dispersal,3,3,tet,dark,monoculture,282
no,no dispersal,3,3,tet,dark,polyculture,2
no,no dispersal,3,3,tet,light,monoculture,94
no,no dispersal,3,3,tet,light,polyculture,2
no,no dispersal,3,4,col,dark,monoculture,252
no,no dispersal,3,4,col,dark,polyculture,16
no,no dispersal,3,4,col,light,monoculture,65
no,no dispersal,3,4,col,light,polyculture,106
no,no dispersal,3,4,eug,dark,monoculture,120
no,no dispersal,3,4,eug,dark,polyculture,1
no,no dispersal,3,4,eug,light,monoculture,10014
no,no dispersal,3,4,eug,light,polyculture,218
no,no dispersal,3,4,eup,dark,monoculture,74
no,no dispersal,3,4,eup,dark,polyculture,4
no,no dispersal,3,4,eup,light,monoculture,253
no,no dispersal,3,4,eup,light,polyculture,6
no,no dispersal,3,4,pau,dark,monoculture,2
no,no dispersal,3,4,pau,dark,polyculture,5
no,no dispersal,3,4,pau,light,monoculture,7
no,no dispersal,3,4,pau,light,polyculture,1
no,no dispersal,3,4,rot,dark,monoculture,34
no,no dispersal,3,4,rot,dark,polyculture,0
no,no dispersal,3,4,rot,light,monoculture,77
no,no dispersal,3,4,rot,light,polyculture,3
no,no dispersal,3,4,spi,dark,monoculture,12
no,no dispersal,3,4,spi,dark,polyculture,0
no,no dispersal,3,4,spi,light,monoculture,29
no,no dispersal,3,4,spi,light,polyculture,0
no,no dispersal,3,4,tet,dark,monoculture,79
no,no dispersal,3,4,tet,dark,polyculture,4
no,no dispersal,3,4,tet,light,monoculture,68
no,no dispersal,3,4,tet,light,polyculture,3
no,no dispersal,4,1,col,dark,polyculture,95
no,no dispersal,4,1,col,light,polyculture,42
no,no dispersal,4,1,eug,dark,polyculture,31
no,no dispersal,4,1,eug,light,polyculture,133
no,no dispersal,4,1,eup,dark,polyculture,3
no,no dispersal,4,1,eup,light,polyculture,6
no,no dispersal,4,1,pau,dark,polyculture,13
no,no dispersal,4,1,pau,light,polyculture,14
no,no dispersal,4,1,rot,dark,polyculture,43
no,no dispersal,4,1,rot,light,polyculture,23
no,no dispersal,4,1,spi,dark,polyculture,14
no,no dispersal,4,1,spi,light,polyculture,2
no,no dispersal,4,1,tet,dark,polyculture,38
no,no dispersal,4,1,tet,light,polyculture,109
no,no dispersal,4,2,col,dark,polyculture,103
no,no dispersal,4,2,col,light,polyculture,61
no,no dispersal,4,2,eug,dark,polyculture,32
no,no dispersal,4,2,eug,light,polyculture,34
no,no dispersal,4,2,eup,dark,polyculture,7
no,no dispersal,4,2,eup,light,polyculture,0
no,no dispersal,4,2,pau,dark,polyculture,34
no,no dispersal,4,2,pau,light,polyculture,3
no,no dispersal,4,2,rot,dark,polyculture,3
no,no dispersal,4,2,rot,light,polyculture,1
no,no dispersal,4,2,spi,dark,polyculture,0
no,no dispersal,4,2,spi,light,polyculture,1
no,no dispersal,4,2,tet,dark,polyculture,3
no,no dispersal,4,2,tet,light,polyculture,5
no,no dispersal,4,3,col,dark,polyculture,40
no,no dispersal,4,3,col,light,polyculture,13
no,no dispersal,4,3,eug,dark,polyculture,35
no,no dispersal,4,3,eug,light,polyculture,68
no,no dispersal,4,3,eup,dark,polyculture,9
no,no dispersal,4,3,eup,light,polyculture,1
no,no dispersal,4,3,pau,dark,polyculture,1
no,no dispersal,4,3,pau,light,polyculture,4
no,no dispersal,4,3,rot,dark,polyculture,5
no,no dispersal,4,3,rot,light,polyculture,7
no,no dispersal,4,3,spi,dark,polyculture,2
no,no dispersal,4,3,spi,light,polyculture,0
no,no dispersal,4,3,tet,dark,polyculture,5
no,no dispersal,4,3,tet,light,polyculture,3
no,no dispersal,4,4,col,dark,polyculture,53
no,no dispersal,4,4,col,light,polyculture,60
no,no dispersal,4,4,eug,dark,polyculture,11
no,no dispersal,4,4,eug,light,polyculture,199
no,no dispersal,4,4,eup,dark,polyculture,12
no,no dispersal,4,4,eup,light,polyculture,0
no,no dispersal,4,4,pau,dark,polyculture,2
no,no dispersal,4,4,pau,light,polyculture,4
no,no dispersal,4,4,rot,dark,polyculture,17
no,no dispersal,4,4,rot,light,polyculture,1
no,no dispersal,4,4,spi,dark,polyculture,0
no,no dispersal,4,4,spi,light,polyculture,0
no,no dispersal,4,4,tet,dark,polyculture,28
no,no dispersal,4,4,tet,light,polyculture,0
no,no dispersal,5,1,col,dark,polyculture,27
no,no dispersal,5,1,col,light,polyculture,4
no,no dispersal,5,1,eug,dark,polyculture,4
no,no dispersal,5,1,eug,light,polyculture,164
no,no dispersal,5,1,eup,dark,polyculture,7
no,no dispersal,5,1,eup,light,polyculture,11
no,no dispersal,5,1,pau,dark,polyculture,14
no,no dispersal,5,1,pau,light,polyculture,3
no,no dispersal,5,1,rot,dark,polyculture,13
no,no dispersal,5,1,rot,light,polyculture,7
no,no dispersal,5,1,spi,dark,polyculture,0
no,no dispersal,5,1,spi,light,polyculture,0
no,no dispersal,5,1,tet,dark,polyculture,23
no,no dispersal,5,1,tet,light,polyculture,60
no,no dispersal,5,2,col,dark,polyculture,93
no,no dispersal,5,2,col,light,polyculture,16
no,no dispersal,5,2,eug,dark,polyculture,11
no,no dispersal,5,2,eug,light,polyculture,2
no,no dispersal,5,2,eup,dark,polyculture,4
no,no dispersal,5,2,eup,light,polyculture,0
no,no dispersal,5,2,pau,dark,polyculture,14
no,no dispersal,5,2,pau,light,polyculture,0
no,no dispersal,5,2,rot,dark,polyculture,1
no,no dispersal,5,2,rot,light,polyculture,0
no,no dispersal,5,2,spi,dark,polyculture,1
no,no dispersal,5,2,spi,light,polyculture,0
no,no dispersal,5,2,tet,dark,polyculture,1
no,no dispersal,5,2,tet,light,polyculture,2
no,no dispersal,5,3,col,dark,polyculture,73
no,no dispersal,5,3,col,light,polyculture,27
no,no dispersal,5,3,eug,dark,polyculture,28
no,no dispersal,5,3,eug,light,polyculture,47
no,no dispersal,5,3,eup,dark,polyculture,2
no,no dispersal,5,3,eup,light,polyculture,2
no,no dispersal,5,3,pau,dark,polyculture,0
no,no dispersal,5,3,pau,light,polyculture,25
no,no dispersal,5,3,rot,dark,polyculture,3
no,no dispersal,5,3,rot,light,polyculture,9
no,no dispersal,5,3,spi,dark,polyculture,0
no,no dispersal,5,3,spi,light,polyculture,2
no,no dispersal,5,3,tet,dark,polyculture,6
no,no dispersal,5,3,tet,light,polyculture,3
no,no dispersal,5,4,col,dark,polyculture,27
no,no dispersal,5,4,col,light,polyculture,30
no,no dispersal,5,4,eug,dark,polyculture,3
no,no dispersal,5,4,eug,light,polyculture,26
no,no dispersal,5,4,eup,dark,polyculture,5
no,no dispersal,5,4,eup,light,polyculture,0
no,no dispersal,5,4,pau,dark,polyculture,13
no,no dispersal,5,4,pau,light,polyculture,4
no,no dispersal,5,4,rot,dark,polyculture,1
no,no dispersal,5,4,rot,light,polyculture,1
no,no dispersal,5,4,spi,dark,polyculture,1
no,no dispersal,5,4,spi,light,polyculture,1
no,no dispersal,5,4,tet,dark,polyculture,10
no,no dispersal,5,4,tet,light,polyculture,0
no,no dispersal,6,1,col,dark,polyculture,54
no,no dispersal,6,1,col,light,polyculture,40
no,no dispersal,6,1,eug,dark,polyculture,14
no,no dispersal,6,1,eug,light,polyculture,105
no,no dispersal,6,1,eup,dark,polyculture,2
no,no dispersal,6,1,eup,light,polyculture,0
no,no dispersal,6,1,pau,dark,polyculture,14
no,no dispersal,6,1,pau,light,polyculture,0
no,no dispersal,6,1,rot,dark,polyculture,76
no,no dispersal,6,1,rot,light,polyculture,6
no,no dispersal,6,1,spi,dark,polyculture,10
no,no dispersal,6,1,spi,light,polyculture,0
no,no dispersal,6,1,tet,dark,polyculture,45
no,no dispersal,6,1,tet,light,polyculture,57
no,no dispersal,6,2,col,dark,polyculture,68
no,no dispersal,6,2,col,light,polyculture,23
no,no dispersal,6,2,eug,dark,polyculture,9
no,no dispersal,6,2,eug,light,polyculture,13
no,no dispersal,6,2,eup,dark,polyculture,8
no,no dispersal,6,2,eup,light,polyculture,1
no,no dispersal,6,2,pau,dark,polyculture,26
no,no dispersal,6,2,pau,light,polyculture,26
no,no dispersal,6,2,rot,dark,polyculture,0
no,no dispersal,6,2,rot,light,polyculture,1
no,no dispersal,6,2,spi,dark,polyculture,0
no,no dispersal,6,2,spi,light,polyculture,0
no,no dispersal,6,2,tet,dark,polyculture,0
no,no dispersal,6,2,tet,light,polyculture,7
no,no dispersal,6,3,col,dark,polyculture,34
no,no dispersal,6,3,col,light,polyculture,33
no,no dispersal,6,3,eug,dark,polyculture,19
no,no dispersal,6,3,eug,light,polyculture,35
no,no dispersal,6,3,eup,dark,polyculture,12
no,no dispersal,6,3,eup,light,polyculture,2
no,no dispersal,6,3,pau,dark,polyculture,0
no,no dispersal,6,3,pau,light,polyculture,2
no,no dispersal,6,3,rot,dark,polyculture,0
no,no dispersal,6,3,rot,light,polyculture,1
no,no dispersal,6,3,spi,dark,polyculture,0
no,no dispersal,6,3,spi,light,polyculture,0
no,no dispersal,6,3,tet,dark,polyculture,7
no,no dispersal,6,3,tet,light,polyculture,0
no,no dispersal,6,4,col,dark,polyculture,18
no,no dispersal,6,4,col,light,polyculture,80
no,no dispersal,6,4,eug,dark,polyculture,1
no,no dispersal,6,4,eug,light,polyculture,361
no,no dispersal,6,4,eup,dark,polyculture,8
no,no dispersal,6,4,eup,light,polyculture,7
no,no dispersal,6,4,pau,dark,polyculture,1
no,no dispersal,6,4,pau,light,polyculture,2
no,no dispersal,6,4,rot,dark,polyculture,3
no,no dispersal,6,4,rot,light,polyculture,5
no,no dispersal,6,4,spi,dark,polyculture,0
no,no dispersal,6,4,spi,light,polyculture,0
no,no dispersal,6,4,tet,dark,polyculture,3
no,no dispersal,6,4,tet,light,polyculture,2
no,dispersal,1,1,col,dark,monoculture,58
no,dispersal,1,1,col,dark,polyculture,24
no,dispersal,1,1,col,light,monoculture,245
no,dispersal,1,1,col,light,polyculture,5
no,dispersal,1,1,eug,dark,monoculture,1090
no,dispersal,1,1,eug,dark,polyculture,25
no,dispersal,1,1,eug,light,monoculture,4176
no,dispersal,1,1,eug,light,polyculture,34
no,dispersal,1,1,eup,dark,monoculture,29
no,dispersal,1,1,eup,dark,polyculture,0
no,dispersal,1,1,eup,light,monoculture,72
no,dispersal,1,1,eup,light,polyculture,2
no,dispersal,1,1,pau,dark,monoculture,47
no,dispersal,1,1,pau,dark,polyculture,3
no,dispersal,1,1,pau,light,monoculture,108
no,dispersal,1,1,pau,light,polyculture,0
